id,yield,variety,year,site
71,14.43333,Glabron,1932,Grand Rapids
113,15.23333,No. 475,1932,Grand Rapids
77,16.63333,Svansota,1932,Grand Rapids
95,19.46667,No. 457,1932,Grand Rapids
53,19.7,No. 475,1931,Grand Rapids
101,19.9,No. 462,1932,Grand Rapids
76,20.63333,Svansota,1932,Crookston
89,20.63333,Trebi,1932,Grand Rapids
119,20.66667,Wisconsin No. 38,1932,Grand Rapids
65,22.13333,Manchuria,1932,Grand Rapids
78,22.23333,Svansota,1932,Duluth
84,22.46667,Velvet,1932,Duluth
102,22.5,No. 462,1932,Duluth
66,22.56667,Manchuria,1932,Duluth
51,22.6,No. 475,1931,Morris
96,22.7,No. 457,1932,Duluth
23,23.03333,Velvet,1931,Grand Rapids
49,24.66667,No. 475,1931,University Farm
41,24.93334,No. 462,1931,Grand Rapids
106,25.23333,Peatland,1932,Crookston
97,25.56667,No. 462,1932,University Farm
18,25.7,Svansota,1931,Duluth
15,25.76667,Svansota,1931,Morris
72,25.86667,Glabron,1932,Duluth
21,26.13333,Velvet,1931,Morris
70,26.16667,Glabron,1932,Crookston
24,26.3,Velvet,1931,Duluth
91,26.43334,No. 457,1932,University Farm
107,26.76667,Peatland,1932,Grand Rapids
79,26.8,Velvet,1932,University Farm
61,26.9,Manchuria,1932,University Farm
1,27,Manchuria,1931,University Farm
114,27.36667,No. 475,1932,Duluth
3,27.43334,Manchuria,1931,Morris
73,27.43334,Svansota,1932,University Farm
103,28.06667,Peatland,1932,University Farm
42,28.1,No. 462,1931,Duluth
33,28.7,No. 457,1931,Morris
9,28.76667,Glabron,1931,Morris
6,28.96667,Manchuria,1931,Duluth
85,29.06667,Trebi,1932,University Farm
11,29.13333,Glabron,1931,Grand Rapids
120,29.33333,Wisconsin No. 38,1932,Duluth
57,29.46667,Wisconsin No. 38,1931,Morris
12,29.66667,Glabron,1931,Duluth
17,29.66667,Svansota,1931,Grand Rapids
29,29.76667,Trebi,1931,Grand Rapids
45,29.86667,Peatland,1931,Morris
109,30,No. 475,1932,University Farm
39,30.36667,No. 462,1931,Morris
100,30.53333,No. 462,1932,Crookston
90,30.6,Trebi,1932,Duluth
108,31.36667,Peatland,1932,Duluth
60,31.6,Wisconsin No. 38,1931,Duluth
48,32,Peatland,1931,Duluth
82,32.06666,Velvet,1932,Crookston
112,32.13333,No. 475,1932,Crookston
35,32.16667,No. 457,1931,Grand Rapids
83,32.23333,Velvet,1932,Grand Rapids
43,32.76667,Peatland,1931,University Farm
5,32.96667,Manchuria,1931,Grand Rapids
64,32.96667,Manchuria,1932,Crookston
54,33.06666,No. 475,1931,Duluth
62,33.46667,Manchuria,1932,Waseca
36,33.6,No. 457,1931,Duluth
30,33.93333,Trebi,1931,Duluth
94,34.33333,No. 457,1932,Crookston
63,34.36666,Manchuria,1932,Morris
59,34.46667,Wisconsin No. 38,1931,Grand Rapids
47,34.7,Peatland,1931,Grand Rapids
75,35.03333,Svansota,1932,Morris
13,35.13333,Svansota,1931,University Farm
69,35.13333,Glabron,1932,Morris
118,35.9,Wisconsin No. 38,1932,Crookston
104,36.03333,Peatland,1932,Waseca
25,36.56666,Trebi,1931,University Farm
37,36.6,No. 462,1931,University Farm
67,36.8,Glabron,1932,University Farm
80,37.4,Velvet,1932,Waseca
68,37.73333,Glabron,1932,Waseca
115,38,Wisconsin No. 38,1932,University Farm
10,38.13333,Glabron,1931,Crookston
74,38.5,Svansota,1932,Waseca
81,38.83333,Velvet,1932,Morris
55,39.3,Wisconsin No. 38,1931,University Farm
19,39.9,Velvet,1931,University Farm
4,39.93333,Manchuria,1931,Crookston
16,40.46667,Svansota,1931,Crookston
110,41.26667,No. 475,1932,Waseca
22,41.33333,Velvet,1931,Crookston
46,41.6,Peatland,1931,Crookston
88,41.83333,Trebi,1932,Crookston
92,42.2,No. 457,1932,Waseca
7,43.06666,Glabron,1931,University Farm
105,43.2,Peatland,1932,Morris
31,43.26667,No. 457,1931,University Farm
93,43.53334,No. 457,1932,Morris
27,43.76667,Trebi,1931,Morris
52,44.1,No. 475,1931,Crookston
111,44.23333,No. 475,1932,Morris
98,44.7,No. 462,1932,Waseca
34,45.66667,No. 457,1931,Crookston
87,46.63333,Trebi,1932,Morris
50,46.76667,No. 475,1931,Waseca
28,46.93333,Trebi,1931,Crookston
99,47,No. 462,1932,Morris
117,47.16667,Wisconsin No. 38,1932,Morris
14,47.33333,Svansota,1931,Waseca
40,48.56666,No. 462,1931,Crookston
44,48.56666,Peatland,1931,Waseca
2,48.86667,Manchuria,1931,Waseca
86,49.2333,Trebi,1932,Waseca
58,49.86667,Wisconsin No. 38,1931,Crookston
20,50.23333,Velvet,1931,Waseca
8,55.2,Glabron,1931,Waseca
32,58.1,No. 457,1931,Waseca
116,58.16667,Wisconsin No. 38,1932,Waseca
56,58.8,Wisconsin No. 38,1931,Waseca
26,63.8333,Trebi,1931,Waseca
38,65.7667,No. 462,1931,Waseca
